Compound=>['Drug-A_GeneOff', 'Drug-A', 'DMSO_Drug-A_GeneOff']	Drug-A 45.7 nM DMSO_Drug-A_GeneOff 0.1 % 	Drug-A 137.2 nM DMSO_Drug-A_GeneOff 0.1 % 	Drug-A 411.5 nM DMSO_Drug-A_GeneOff 0.1 % 	Drug-A 1234.6 nM DMSO_Drug-A_GeneOff 0.1 % 	Drug-A 3703.7 nM DMSO_Drug-A_GeneOff 0.1 % 	Drug-A 11111.1 nM DMSO_Drug-A_GeneOff 0.1 % 	Drug-A 33333.3 nM DMSO_Drug-A_GeneOff 0.1 % 
66.0	-0.0077468157	-0.011297166	-0.011297166	-0.011297166	-0.011297166	0.011922061	0.07063559
69.0	-0.005417049	-0.008705914	-0.008705914	-0.008705914	-0.008705914	0.00904882	0.06714987
72.0	-0.0045366287	-0.009451807	-0.009451807	-0.009451807	-0.009451807	0.0064418316	0.06297627
Compound=>['Drug-A_GeneOff', 'Drug-A', 'DMSO_Drug-A_GeneOff']	Drug-A 45.7 nM DMSO_Drug-A_GeneOff 0.1 % 	Drug-A 137.2 nM DMSO_Drug-A_GeneOff 0.1 % 	Drug-A 411.5 nM DMSO_Drug-A_GeneOff 0.1 % 	Drug-A 1234.6 nM DMSO_Drug-A_GeneOff 0.1 % 	Drug-A 3703.7 nM DMSO_Drug-A_GeneOff 0.1 % 	Drug-A 11111.1 nM DMSO_Drug-A_GeneOff 0.1 % 	Drug-A 33333.3 nM DMSO_Drug-A_GeneOff 0.1 % 
0.0	0.015873432	0.02849996	-0.0008892417	-0.0113402605	0.041306198	-0.027914286	0.07268351
3.0	0.033359945	0.031276226	0.01387614	0.0005132556	0.028033495	-0.059811115	0.0546149
6.0	0.047202528	0.04931736	0.019934654	0.0123051405	0.030138671	-0.064548075	0.044932425
9.0	0.029626697	0.03263812	-0.0060691014	0.0039567053	-0.011121988	-0.036172092	-0.0073842406
12.0	0.01783657	0.034781456	0.011499554	0.005209461	-0.011983246	-0.0468179	0.0050373077
15.0	0.013236292	0.026042871	0.017254695	-0.004971072	-0.019031882	-0.05674097	0.0014515221
18.0	0.01041913	0.017283402	0.015221059	-0.011767387	-0.026334107	-0.0627352	-0.01918447
21.0	-0.022558093	-0.00783135	-0.010436058	-0.0276618	-0.04345852	-0.07758927	-0.032427907
24.0	-0.012456298	-0.012741968	-0.020740375	-0.023503602	-0.030703068	-0.07315266	-0.026639938
27.0	-0.0068476796	-0.02401939	-0.026948065	-0.03245023	-0.03300804	-0.0795542	-0.029627264
30.0	-0.020990565	-0.026959151	-0.04856938	-0.04296708	-0.044209838	-0.08094984	-0.04786849
33.0	-0.030068487	-0.029629648	-0.05028215	-0.05176729	-0.04294902	-0.0822953	-0.047184706
36.0	-0.023849964	-0.023217589	-0.039661437	-0.05646351	-0.05384159	-0.07481265	-0.04787326
39.0	-0.02302587	-0.021456689	-0.03830087	-0.046567082	-0.045786202	-0.07512957	-0.050140142
42.0	-0.010309234	-0.025265902	-0.029122293	-0.044231296	-0.039615452	-0.068247974	-0.041543305
45.0	-0.009427145	-0.02162908	-0.021963745	-0.026940405	-0.03401649	-0.060323	-0.04437971
48.0	-0.0142252445	-0.019437492	-0.023691177	-0.022176266	-0.032281697	-0.05682999	-0.039607763
51.0	-0.01801756	-0.017038256	-0.01970619	-0.019276142	-0.03453201	-0.059353054	-0.03222835
54.0	-0.019339472	-0.010929048	-0.01861453	-0.01875782	-0.02857691	-0.05448985	-0.035007417
57.0	-0.0094086975	-0.0011521876	-0.0150102675	-0.0111172795	-0.020537198	-0.054073572	-0.03536254
60.0	-0.012047827	-0.0069292933	-0.008595675	-0.003624022	-0.026437819	-0.04680735	-0.027816951
63.0	-0.012598619	-0.008397028	-0.007325083	-0.0005198717	-0.024069965	-0.05230564	-0.023346543
66.0	-0.016875431	-0.01317586	-0.012245774	0.0021414459	-0.028072178	-0.044258893	-0.022850037
69.0	-0.016181603	-0.013026357	-0.0071995407	0.0055575967	-0.02610296	-0.05695653	-0.021681309
72.0	-0.01796636	-0.011484861	-0.011005938	0.0046537817	-0.027691722	-0.05204612	-0.02512455
Compound=>['Drug-B_GeneOff', 'Drug-B', 'DMSO_Drug-B_GeneOff']	Drug-B 45.7 nM DMSO_Drug-B_GeneOff 0.1 % 	Drug-B 137.2 nM DMSO_Drug-B_GeneOff 0.1 % 	Drug-B 411.5 nM DMSO_Drug-B_GeneOff 0.1 % 	Drug-B 1234.6 nM DMSO_Drug-B_GeneOff 0.1 % 	Drug-B 3703.7 nM DMSO_Drug-B_GeneOff 0.1 % 	Drug-B 11111.1 nM DMSO_Drug-B_GeneOff 0.1 % 	Drug-B 33333.3 nM DMSO_Drug-B_GeneOff 0.1 % 
0.0	-0.014880203	0.022052974	0.038359284	-0.047785163	-0.0043549538	0.038739264	-0.0091941655
3.0	-0.0054809004	0.032448947	0.018612027	-0.04922068	0.017900646	0.07077025	-3.388524e-05
6.0	0.013486475	0.028900921	0.03281629	-0.02878952	0.03868214	0.069463104	0.012026846
9.0	0.009169683	0.01172594	0.046373755	-0.0021228194	0.033702835	0.046502233	0.008940071
12.0	0.008262187	0.011664122	0.05184278	-0.0023327768	0.026390225	0.027231485	-0.019356728
15.0	0.0074106306	0.028699398	0.048095718	-0.0016437471	0.008330062	0.026121438	-0.015204817
18.0	0.0071329772	0.025307506	0.059496418	-0.0047129393	0.0008698106	0.023209453	-0.0325076
21.0	0.0026316866	0.028276384	0.05549389	-0.0049990714	-0.006569773	0.018436223	-0.030897439
24.0	0.0076265484	0.014324859	0.04654652	-0.017045528	-0.020046175	0.019806564	-0.038354814
27.0	0.0104570985	0.014697328	0.020789385	-0.022086844	-0.028156161	0.0088843405	-0.03677118
30.0	0.023772895	0.028577283	0.016706944	-0.019389033	-0.028006822	0.008327752	-0.036738932
33.0	0.021913975	0.027696922	0.019461453	-0.026608318	-0.04964292	-0.006593406	-0.048036933
36.0	0.017064393	0.026567757	0.019985184	-0.033835888	-0.045893133	-0.009911716	-0.053428173
39.0	0.00951691	0.024289906	0.032876983	-0.042224616	-0.053839803	-0.0063738227	-0.049368143
42.0	0.016557962	0.03564462	0.059133857	-0.025356948	-0.033108234	-0.009384513	-0.041760564
45.0	0.01975654	0.036758766	0.066008	-0.020522743	-0.023299843	0.0045449734	-0.030233443
48.0	0.012126267	0.029787377	0.06857324	-0.020800114	-0.02618587	-0.0011193752	-0.016216516
51.0	0.01391758	0.023113012	0.06410363	-0.016084135	-0.021312445	-0.0019034743	-0.016208827
54.0	0.010746926	0.018506214	0.044591278	-0.01086694	-0.025220066	-0.0025211573	-0.02688098
57.0	-0.0022664517	0.011820823	0.025095046	-0.018333703	-0.031202853	-0.0028072596	-0.01797223
60.0	0.0029859096	0.014755905	0.01668325	-0.013551265	-0.019653082	0.0045731664	-0.023702323
63.0	0.008030191	0.014463514	0.015047371	-0.005846143	-0.02520895	-0.004999876	-0.018654346
66.0	0.0012257844	0.008583158	0.013236284	-0.0022139251	-0.025470316	-0.009797454	-0.020804584
69.0	0.00810571	0.011276007	0.021042705	0.0066246986	-0.017956823	-0.0038179755	-0.015009165
72.0	-0.0033562928	0.0067586303	0.012127101	0.0017980933	-0.032815933	-0.0025945902	-0.008626461
