Compound=>['Drug-A_GeneOff', 'Drug-A', 'DMSO_Drug-A_GeneOff']	Drug-A 45.7 nM DMSO_Drug-A_GeneOff 0.1 % 	Drug-A 137.2 nM DMSO_Drug-A_GeneOff 0.1 % 	Drug-A 411.5 nM DMSO_Drug-A_GeneOff 0.1 % 	Drug-A 1234.6 nM DMSO_Drug-A_GeneOff 0.1 % 	Drug-A 3703.7 nM DMSO_Drug-A_GeneOff 0.1 % 	Drug-A 11111.1 nM DMSO_Drug-A_GeneOff 0.1 % 	Drug-A 33333.3 nM DMSO_Drug-A_GeneOff 0.1 % 
72.0	0.009451807	0.009451807	0.009451807	0.009451807	0.009451807	0.009451807	0.09850004
Compound=>['Drug-A_GeneOff', 'Drug-A', 'DMSO_Drug-A_GeneOff']	Drug-A 45.7 nM DMSO_Drug-A_GeneOff 0.1 % 	Drug-A 137.2 nM DMSO_Drug-A_GeneOff 0.1 % 	Drug-A 411.5 nM DMSO_Drug-A_GeneOff 0.1 % 	Drug-A 1234.6 nM DMSO_Drug-A_GeneOff 0.1 % 	Drug-A 3703.7 nM DMSO_Drug-A_GeneOff 0.1 % 	Drug-A 11111.1 nM DMSO_Drug-A_GeneOff 0.1 % 	Drug-A 33333.3 nM DMSO_Drug-A_GeneOff 0.1 % 
0.0	0.012227774	0.0034654737	0.021690428	0.03715861	0.045836568	0.1513282	0.19304925
3.0	0.0056948066	0.01049149	0.023288667	0.05767733	0.123146296	0.22599101	0.23236567
6.0	0.0	0.0	0.027809799	0.053932548	0.16649878	0.27996945	0.2793147
9.0	0.042328566	0.049712013	0.08209071	0.12167439	0.26404268	0.36265075	0.37558836
12.0	0.050965488	0.050965488	0.07878694	0.1513701	0.3265135	0.43298715	0.4233268
15.0	0.08280527	0.08762897	0.11581017	0.22119479	0.4012217	0.49970397	0.4764572
18.0	0.099348426	0.11225543	0.1377474	0.27811986	0.46258742	0.5414891	0.5328617
21.0	0.13797224	0.15214385	0.18467116	0.33162397	0.50533974	0.58121705	0.5679381
24.0	0.1442197	0.16555975	0.21253781	0.35745275	0.5268255	0.60851836	0.5859974
27.0	0.15827543	0.19439492	0.24620232	0.4040195	0.5663636	0.6309424	0.6124175
30.0	0.18189825	0.2195253	0.2830575	0.44226038	0.59919894	0.6565904	0.6418791
